key,n_in,n_out,rbc_in,rbc_out,rbc_bg,tm_in,tm_out,tm_bg,dis_in,dis_out,dis_bg,gas_in,gas_out,gas_bg
2024-09-09_043AS,50532,649,0.89089067050905,0.8588021920028049,-0.0033204584264539317,0.8268109660456867,0.7997392480181281,0.09053608431079901,0.6175786168262406,0.4299214485858394,0.09794635526572994,0.2791126999377696,0.4736205038336793,0.022652171153845612
2024-09-10_008TP,69465,1898,0.9131084376209878,0.7369576769707133,0.002133997553980868,0.8805575413576283,0.7247793549238201,0.09439710925815067,0.6049759950601624,0.2711700169809316,0.08363749676209072,0.3850935167947211,0.5727895165196799,0.06485620449306036
2024-09-10_045VS,39105,776,0.931077405076685,0.8980623234986366,0.03391689339309715,0.8484110739218991,0.8225940462498188,0.19859924532117415,0.5738158381161258,0.42428334295285053,0.2023663644580199,0.39908587102273857,0.6211789725524741,0.06608655512842566
2024-09-24_039CP,64497,1092,0.9116343909248112,0.7750934134412641,-0.01577500568634963,0.8635870365564571,0.6570940273069743,0.09814287034242888,0.5155525662891411,0.0868488331660822,0.08264948425840984,0.3196688800529158,0.35113512989689016,0.04561642325602421
2024-09-24_046AA,58759,976,0.8218311439469792,0.8402830657541746,0.005774668332776998,0.7501575696088776,0.8594195354322166,0.06752038599932032,0.27286691640302646,0.23323368467646372,0.008431154932039787,0.19956311411920885,0.16291018263036236,0.019121303232183716
2024-09-26_009ML,67260,1375,0.9200444448516301,0.8401265772243863,0.03688812996060648,0.891276879135211,0.8489276701329409,0.08347692087960493,0.6401199239066148,0.23133201983832008,0.0920406787585243,0.39317460409932214,0.49566632061594224,0.048086801857076644
2024-09-27_036RL,60632,1099,0.8894857893265219,0.662453214893961,0.028583539292101272,0.8411830722508856,0.5681090613597979,0.033688123257610024,0.5355656171148115,0.18506304709961646,0.04152294123764958,0.3522003426708553,0.330773522349617,0.05177351882676436
2024-10-02_011CN,61594,7017,0.7952815805063078,0.42898339386471945,-0.02313394089559177,0.757636056510649,0.4471068289367227,0.02020959388079016,0.5479077442593808,0.2096853863627708,0.021472459325504834,0.36365615669022877,0.5112774469446454,0.10792095437436122
2024-10-02_018CS,57367,8619,0.7381765457884029,0.43315137167561746,0.014885638857453252,0.7021009355084974,0.39040730726103534,0.04596106488926127,0.22590372544692594,0.0951459709568944,-0.004758750731167955,0.2873570005959564,0.4478972802970578,0.06558185850146578
2024-10-08_009JT,69147,10048,0.6896605757695233,0.3228876128562762,-0.029474058489069636,0.6027801469299797,0.25489627553131616,-0.006351959572784182,0.2285366275364759,0.09148622007969556,-0.015712859738201593,0.7445038350210613,0.7007449922956233,0.1542666417859269
2024-10-10_019LR,64718,2985,0.7636811007887379,0.47634414121901514,0.015771555637208865,0.724373069232165,0.4660434314040744,0.0164515791037122,0.5248398923942534,0.09639055183505794,0.005058017719484772,0.2646205107900073,0.47920629233740386,0.03809939022225035
2024-10-16_020JS,69956,3604,0.48584526664916383,0.33009339716235814,0.019753992481488382,0.36688514977635833,0.25524253680308917,-0.026050189942160525,0.17518637552846328,0.013582577590702399,0.006053772704470344,0.24425793073480692,0.3250392820754016,0.017248168183649378
2024-10-16_047SS,61259,4373,0.8012928102184189,0.38349797084372406,-0.006955738203879136,0.739132980976493,0.3539931201192166,0.01375259899759648,0.3544708631502457,0.14647599976685602,-0.0030190215366450663,0.29288235287905334,0.43056877087699963,0.057462689136310856
