a,b,n,gas,dis,tm,rbc,gas_hp,dis_hp,tm_hp,rbc_hp
2024-03-14_038RL,2024-09-24_039CP,61424,0.46199681482956195,0.715838861578931,0.6742161211116503,0.5433260471150932,0.28886630935009927,0.6171331643217413,0.5288869073576242,0.2542208430312647
2024-03-14_038RL,2024-09-24_046AA,60200,0.3384440042987298,0.45555574901333407,0.4087465113441969,0.30461306134882576,0.3234488130276831,0.4630352949717101,0.350784936909029,0.14010363476611418
2024-03-14_038RL,2024-09-26_009ML,72290,0.34104018287665605,0.5315235068540827,0.42713096678745305,0.5759832389187118,0.22885243813635972,0.5137361537515904,0.42058102569591743,0.28314274657732263
2024-03-14_038RL,2024-09-27_036RL,55078,0.2006282639108136,0.25075744569575953,0.2616184148623008,0.0624341502993692,0.29232601291130655,0.422547516185535,0.35832902547836043,0.031289152809837996
2024-03-14_038RL,2024-10-02_011CN,53747,0.3480968667702464,0.568883925679147,0.6005631343955966,0.1647149588891353,0.24763150777196186,0.44172718005099465,0.4456425521201123,0.002712608605614426
2024-03-14_038RL,2024-10-10_019LR,61954,0.4049644816518533,0.5140594233542086,0.5638960356373753,0.13235342661659422,0.274374227123333,0.5355681889881715,0.5174928796841197,0.11163264607146839
2024-03-14_038RL,2024-10-16_020JS,51433,-0.050444425611554024,-0.05390552048853812,-0.05519432231652036,0.024747690250143138,0.027049632335297655,-0.07217514227579946,-0.09468394544493584,-0.05436210885472766
2024-03-14_038RL,2024-10-17_048JJ,60308,0.22887571386018385,0.28349947503061385,0.21657876917767227,0.28217806210004825,0.12208298447597302,0.20872310134757757,0.13727769771448936,0.07019148416566871
2024-03-14_038RL,2024-10-22_021CH,49323,0.07926156372283857,0.010643559990700779,0.11579202671394903,-0.047729047521366155,0.20463480439948697,0.149578785090273,0.20588350212360929,0.038559560197435595
2024-03-14_038RL,2024-10-29_049WG,53704,0.4276812429401489,0.4972953950181763,0.38673250698500866,0.28082981392421263,0.295238419550358,0.43373219692847237,0.3101286617864832,0.07414797882715837
2024-03-14_038RL,2024-11-05_023LL,38777,0.17867392890108108,0.25630828947873974,0.2704212656697002,0.18410710460558943,0.14457827505091708,0.22438526168930822,0.2027676147597274,0.12681067259216927
2024-03-14_038RL,2024-11-13_025JC,64726,0.38459482513466187,0.6131832436295892,0.5008850558004244,0.5972224912952777,0.25105631691263075,0.5734238237929122,0.38781283918316894,0.29298752884459117
2024-03-14_038RL,2024-11-26_050EH,66412,0.34155280277501837,0.42737140521908484,0.4255811743916784,0.22238384697570135,0.26430916838230356,0.49228464291023544,0.3897615915053836,0.0776683318511496
2024-03-14_038RL,2024-12-05_043AS,49261,0.3104889352461251,0.46063760975245216,0.37693446414290943,0.13964885281456216,0.22034299549170636,0.36951853312727484,0.27884480230124314,-0.035927888882059875
2024-03-21_032WS,2024-03-21_036RL,85781,0.33588221324174256,0.5094031265878163,0.43339840357735565,0.3028780632729568,0.231324280505946,0.36604224963510185,0.2855764135345791,0.13709134164149278
2024-03-21_032WS,2024-03-28_010AJ,52811,0.14763856531087494,0.4194744822918478,0.35843928700730315,0.20280023290152482,0.06313140230215876,0.19830225087100556,0.1690747337760092,0.058771364859729884
2024-03-21_032WS,2024-04-03_040RP,52321,0.08484777593321474,0.3057220147448664,0.27745112655203047,0.18488131867066446,0.0473885299500112,0.10235671361266066,0.10076199180847416,0.0401978934135292
2024-03-21_032WS,2024-04-09_019WR,66182,-0.04801321380949978,0.09972051002642136,0.03917358969395184,0.24865982123034922,0.006656784615820229,-0.004794676524834591,0.020025672456996078,-0.011855756255191427
2024-03-21_032WS,2024-04-22_025VP,47408,0.2545198410034109,0.6718159249102322,0.4502957795055411,0.39808127864243065,0.07055526027244696,0.3946583369886036,0.17718533633322117,0.1221918273222049
2024-03-21_032WS,2024-05-06_043AS,63841,0.0050488044411720594,0.0581064369480525,0.024229010055575217,0.3101072839008271,0.0019325282667901598,0.02034662284952989,0.017993852128407144,0.08933816126709565
2024-03-21_032WS,2024-07-03_044DY,49936,0.006433110267836957,0.09759126895851263,0.06526725453004745,0.0953655889018227,-0.09577189232348884,-0.09994110370761204,-0.15554788446415826,-0.02841306595882031
2024-03-21_032WS,2024-07-29_004DS,44816,0.015304333723912154,0.25202956445850905,0.23954881124998317,0.04362524679986417,-0.024657876702767263,0.13326114212341877,0.09022581157222333,0.040253797377647685
2024-03-21_032WS,2024-08-12_013VM,72580,0.09482760353137303,0.30531426302462455,0.23877629664285968,0.1917768015501432,-0.021785030912581153,0.0563125786997563,0.014536136487181531,0.03773687277036721
2024-03-21_032WS,2024-08-19_015HK,74291,0.22870311278907812,0.3910294456366307,0.26445336648664663,0.35156499619942205,0.15926498232883426,0.32526017000412716,0.20647535956895705,0.09446087506546151
2024-03-21_032WS,2024-08-21_044DY,53703,-0.027074791254808654,0.14110620105033123,0.11404390234101888,0.21195710574096807,-0.026478494994068253,0.017312074775346582,0.006798326393560381,0.0028394874150265794
2024-03-21_032WS,2024-08-23_016PG,89332,0.15226627446944438,0.32933539377022913,0.2067823073590559,0.2463596962974313,0.0695968094636886,0.12326414087682569,0.014053520246426358,-0.03170829079656329
2024-03-21_032WS,2024-08-30_014KS,71408,0.296345398463912,0.49648987423586904,0.310767705864733,0.47480063376948295,0.21299288824783538,0.40087802503343656,0.237468835557254,0.18144144246368032
2024-03-21_032WS,2024-09-03_041WF,74782,0.11300775565743962,0.25806485647468697,0.22797138166895786,0.16457708375144836,-0.0332657250687461,0.0799304525242954,-0.0030951433120493827,0.00040556380258797433
2024-03-21_032WS,2024-09-09_043AS,49989,0.02055496579980929,0.13527694481178726,0.11058391991065267,0.2019552721569956,-0.048904673996604545,-0.06394862674792809,-0.06893014596999263,0.014354599139691395
2024-03-21_032WS,2024-09-10_045VS,47416,-0.040303304588193915,0.21079578595804854,0.13818476274033228,0.3193700236959756,-0.02998051674355087,0.11122500067311332,0.07919071392690187,0.07933310293719899
2024-03-21_032WS,2024-09-24_039CP,54113,-0.015928814332978783,-0.011949030193677199,-0.041827327222890384,0.10427454190306934,-0.05620852071133126,-0.049105321059279824,-0.05669470881483144,0.04242434195520313
2024-03-21_032WS,2024-09-24_046AA,73287,0.22674711133493874,0.5244309009114442,0.3904271843864794,0.3884467796846496,0.13468442319446722,0.2860701754644611,0.17110395504200257,0.07057505254490481
2024-03-21_032WS,2024-09-26_009ML,68884,0.11287394400670163,0.37148587123077387,0.27337508606057215,0.32498364837498184,0.030342423572561193,0.19067535527144083,0.13317258826960734,0.07994450368627616
2024-03-21_032WS,2024-09-27_036RL,74624,0.3837571840979054,0.5566777757068149,0.47582042452395173,0.3841319450167654,0.27934961373275513,0.39893373809272675,0.31954474045079756,0.14245275718248385
2024-03-21_032WS,2024-10-02_011CN,55652,0.07355660178480554,-0.034856184218182575,-0.011403438739240612,0.013935320441272723,0.0305665934966352,0.01084868034221103,0.03396350139464185,0.0009199582874199546
2024-03-21_032WS,2024-10-10_019LR,68968,0.10402388629527212,0.11732701492877451,0.1350742643818076,-0.04352528880809248,0.005266129785336067,0.07523907101746957,0.05274857464247881,-0.07556725846656961
2024-03-21_032WS,2024-10-16_020JS,80231,0.17707595397552364,0.017055027912193054,0.04672120022849877,0.11826122454301892,0.15224707511165644,0.17277351903858845,0.18835012649600277,0.09461576833894976
